stock,change,month,year,status
ptba,4.78,3,2022,positive
ptba,10.18,2,2022,positive
ptba,5.17,1,2022,positive
ptba,4.23,12,2021,positive
ptba,-2.99,11,2021,negative
ptba,-2.90,10,2021,negative
ptba,30.81,9,2021,positive
ptba,-5.38,8,2021,negative
ptba,11.50,7,2021,positive
ptba,-9.50,6,2021,negative
ptba,-6.75,5,2021,negative
ptba,-9.54,4,2021,negative
ptba,-3.32,3,2021,negative
ptba,5.04,2,2021,positive
ptba,-8.19,1,2021,negative
ptba,19.07,12,2020,positive
ptba,20.41,11,2020,positive
ptba,-0.51,10,2020,negative
ptba,-3.43,9,2020,negative
ptba,0.49,8,2020,positive
ptba,0.50,7,2020,positive
ptba,3.86,6,2020,positive
ptba,3.73,5,2020,positive
ptba,-13.99,4,2020,negative
ptba,-2.68,3,2020,negative
ptba,1.36,2,2020,positive
ptba,-16.92,1,2020,negative
ptba,9.92,12,2019,positive
ptba,7.56,11,2019,positive
ptba,-0.44,10,2019,negative
ptba,-8.50,9,2019,negative
ptba,-9.85,8,2019,negative
ptba,-7.43,7,2019,negative
ptba,-3.27,6,2019,negative
ptba,-22.73,5,2019,negative
ptba,-5.71,4,2019,negative
ptba,5.53,3,2019,positive
ptba,-7.66,2,2019,negative
ptba,0.23,1,2019,positive
ptba,6.97,12,2018,positive
ptba,-5.41,11,2018,negative
ptba,-1.62,10,2018,negative
ptba,6.67,9,2018,positive
ptba,-9.60,8,2018,negative
ptba,12.85,7,2018,positive
ptba,4.47,6,2018,positive
ptba,17.28,5,2018,positive
ptba,10.20,4,2018,positive
ptba,-7.26,3,2018,negative
ptba,-6.76,2,2018,negative
ptba,38.21,1,2018,positive
ptba,9.33,12,2017,positive
ptba,-1.96,11,2017,negative
ptba,9.81,10,2017,positive
ptba,-15.56,9,2017,negative
ptba,-5.53,8,2017,negative
ptba,9.62,7,2017,positive
ptba,9.63,6,2017,positive
ptba,-14.00,5,2017,negative
ptba,-3.98,4,2017,negative
ptba,18.12,3,2017,positive
ptba,-3.66,2,2017,negative
ptba,-7.20,1,2017,negative
ptba,5.93,12,2016,positive
ptba,-0.84,11,2016,negative
ptba,23.64,10,2016,positive
ptba,-3.02,9,2016,negative
ptba,0.76,8,2016,positive
ptba,27.92,7,2016,positive
ptba,20.78,6,2016,positive
ptba,-9.57,5,2016,negative
ptba,12.35,4,2016,positive
tins,4.73,4,2016,positive
tins,29.82,3,2016,positive
tins,9.62,2,2016,positive
tins,2.97,1,2016,positive
tins,-3.81,12,2015,negative
tins,-16.00,11,2015,negative
tins,-2.34,10,2015,negative
tins,5.79,9,2015,positive
tins,0.00,8,2015,positive
tins,-14.79,7,2015,negative
tins,-19.32,6,2015,negative
tins,7.98,5,2015,positive
tins,-14.21,4,2015,negative
tins,-6.86,3,2015,negative
tins,-13.19,2,2015,negative
tins,-4.47,1,2015,negative
tins,0.41,12,2014,positive
tins,-0.81,11,2014,negative
tins,0.82,10,2014,positive
tins,-14.34,9,2014,negative
tins,0.70,8,2014,positive
tins,12.70,7,2014,positive
tins,-11.58,6,2014,negative
tins,-5.00,5,2014,negative
tins,13.81,4,2014,positive
tins,20.81,3,2014,positive
tins,26.13,2,2014,positive
tins,-19.98,1,2014,negative
tins,-0.64,12,2013,negative
tins,-0.64,11,2013,negative
tins,0.64,10,2013,positive
tins,24.77,9,2013,positive
tins,12.23,8,2013,positive
tins,11.64,7,2013,positive
tins,-17.63,6,2013,negative
tins,-11.98,5,2013,negative
tins,-0.62,4,2013,negative
tins,-2.72,3,2013,negative
tins,-10.94,2,2013,negative
tins,7.11,1,2013,positive
tlkm,-7.84,9,2015,negative
tlkm,-2.38,8,2015,negative
tlkm,0.34,7,2015,positive
tlkm,2.99,6,2015,positive
tlkm,8.80,5,2015,positive
tlkm,-9.52,4,2015,negative
tlkm,-1.53,3,2015,negative
tlkm,3.71,2,2015,positive
tlkm,-1.22,1,2015,negative
tlkm,1.42,12,2014,positive
tlkm,2.73,11,2014,positive
tlkm,-5.66,10,2014,negative
tlkm,9.38,9,2014,positive
tlkm,0.57,8,2014,positive
tlkm,7.51,7,2014,positive
tlkm,-4.27,6,2014,negative
tlkm,13.69,5,2014,positive
tlkm,2.26,4,2014,positive
tlkm,-4.73,3,2014,negative
tlkm,2.20,2,2014,positive
tlkm,5.81,1,2014,positive
tlkm,-1.15,12,2013,negative
tlkm,-7.45,11,2013,negative
tlkm,11.90,10,2013,positive
tlkm,-4.55,9,2013,negative
tlkm,-7.56,8,2013,negative
tlkm,5.78,7,2013,positive
tlkm,1.81,6,2013,positive
tlkm,-5.56,5,2013,negative
tlkm,6.36,4,2013,positive
tlkm,2.33,3,2013,positive
tlkm,10.82,2,2013,positive
tlkm,7.18,1,2013,positive
smgr,-0.76,9,2022,negative
smgr,1.15,8,2022,positive
smgr,-8.42,7,2022,negative
smgr,-2.40,6,2022,negative
smgr,14.06,5,2022,positive
smgr,-3.76,4,2022,negative
smgr,-7.64,3,2022,negative
smgr,7.06,2,2022,positive
smgr,-7.24,1,2022,negative
smgr,-9.38,12,2021,negative
smgr,-12.09,11,2021,negative
smgr,10.98,10,2021,positive
smgr,-11.35,9,2021,negative
smgr,20.13,8,2021,positive
smgr,-18.95,7,2021,negative
smgr,-2.06,6,2021,negative
smgr,-6.95,5,2021,negative
smgr,0.00,4,2021,positive
smgr,2.21,3,2021,positive
smgr,-3.77,2,2021,negative
smgr,-14.69,1,2021,negative
smgr,6.20,12,2020,positive
smgr,22.19,11,2020,positive
smgr,4.36,10,2020,positive
smgr,-13.03,9,2020,negative
smgr,14.36,8,2020,positive
smgr,-4.16,7,2020,negative
smgr,-1.79,6,2020,negative
smgr,23.27,5,2020,positive
smgr,4.26,4,2020,positive
smgr,-27.21,3,2020,negative
smgr,-12.34,2,2020,negative
smgr,-0.42,1,2020,negative
smgr,4.80,12,2019,positive
smgr,-9.49,11,2019,negative
smgr,9.52,10,2019,positive
smgr,-12.83,9,2019,negative
smgr,2.91,8,2019,positive
smgr,11.23,7,2019,positive
smgr,0.22,6,2019,positive
smgr,-14.44,5,2019,negative
smgr,-3.23,4,2019,negative
smgr,10.28,3,2019,positive
smgr,-0.20,2,2019,negative
smgr,10.22,1,2019,positive
smgr,-4.37,12,2018,negative
smgr,33.61,11,2018,positive
smgr,-9.32,10,2018,negative
smgr,5.03,9,2018,positive
smgr,24.34,8,2018,positive
smgr,6.67,7,2018,positive
smgr,-15.18,6,2018,negative
smgr,-12.95,5,2018,negative
smgr,-6.76,4,2018,negative
smgr,-6.97,3,2018,negative
smgr,-0.22,2,2018,negative
smgr,12.63,1,2018,positive
smgr,5.32,12,2017,positive
smgr,-13.76,11,2017,negative
smgr,7.65,10,2017,positive
smgr,-3.34,9,2017,negative
smgr,5.28,8,2017,positive
smgr,-0.50,7,2017,negative
smgr,5.82,6,2017,positive
smgr,7.08,5,2017,positive
smgr,-1.94,4,2017,negative
smgr,-6.49,3,2017,negative
smgr,6.65,2,2017,positive
smgr,-1.63,1,2017,negative
smgr,3.38,12,2016,positive
smgr,-9.90,11,2016,negative
smgr,-2.48,10,2016,negative
smgr,2.02,9,2016,positive
smgr,5.60,8,2016,positive
towr,0.76,9,2015,positive
towr,-0.88,8,2015,negative
towr,-0.12,7,2015,negative
towr,0.76,6,2015,positive
towr,-0.63,5,2015,negative
towr,-0.62,4,2015,negative
towr,6.49,3,2015,positive
towr,-3.45,2,2015,negative
towr,-5.78,1,2015,negative
towr,0.24,12,2014,positive
towr,0.98,11,2014,positive
towr,-2.38,10,2014,negative
towr,0.12,9,2014,positive
towr,5.67,8,2014,positive
towr,-0.13,7,2014,negative
towr,3.25,6,2014,positive
towr,-1.28,5,2014,negative
towr,-1.76,4,2014,negative
towr,16.76,3,2014,positive
towr,6.25,2,2014,positive
towr,16.36,1,2014,positive
towr,2.80,12,2013,positive
towr,0.00,11,2013,positive
towr,-3.60,10,2013,negative
towr,-5.13,9,2013,negative
towr,2.63,8,2013,positive
towr,16.33,7,2013,positive
towr,-3.92,6,2013,negative
towr,-1.35,5,2013,negative
towr,-0.58,4,2013,negative
towr,-4.06,3,2013,negative
towr,6.27,2,2013,positive
towr,12.33,1,2013,positive
tbig,3.90,9,2022,positive
tbig,-8.14,8,2022,negative
tbig,4.42,7,2022,positive
tbig,-0.34,6,2022,negative
tbig,-1.99,5,2022,negative
tbig,4.88,4,2022,positive
tbig,-2.38,3,2022,negative
tbig,2.08,2,2022,positive
tbig,-2.37,1,2022,negative
tbig,-2.32,12,2021,negative
tbig,2.72,11,2021,positive
tbig,-0.68,10,2021,negative
tbig,-5.43,9,2021,negative
tbig,-2.49,8,2021,negative
tbig,0.00,7,2021,positive
tbig,23.94,6,2021,positive
tbig,-7.17,5,2021,negative
tbig,34.78,4,2021,positive
tbig,-4.61,3,2021,negative
tbig,-3.12,2,2021,negative
tbig,37.42,1,2021,positive
tbig,14.39,12,2020,positive
tbig,-5.00,11,2020,negative
tbig,12.36,10,2020,positive
tbig,2.30,9,2020,positive
tbig,1.16,8,2020,positive
tbig,16.74,7,2020,positive
tbig,4.25,6,2020,positive
tbig,-11.30,5,2020,negative
tbig,32.04,4,2020,positive
tbig,-18.10,3,2020,negative
tbig,-4.74,2,2020,negative
tbig,-5.69,1,2020,negative
tbig,12.33,12,2019,positive
tbig,-13.44,11,2019,negative
tbig,3.27,10,2019,positive
tbig,2.51,9,2019,positive
tbig,42.26,8,2019,positive
tbig,10.82,7,2019,positive
tbig,3.55,6,2019,positive
tbig,-7.34,5,2019,negative
tbig,0.25,4,2019,positive
tbig,-1.01,3,2019,negative
tbig,-19.11,2,2019,negative
tbig,36.67,1,2019,positive
tbig,-10.22,12,2018,negative
tbig,-14.32,11,2018,negative
tbig,-16.80,10,2018,negative
tbig,1.35,9,2018,positive
tbig,5.71,8,2018,positive
tbig,5.21,7,2018,positive
tbig,-1.67,6,2018,negative
tbig,-8.56,5,2018,negative
tbig,-0.45,4,2018,negative
tbig,-0.89,3,2018,negative
tbig,-8.54,2,2018,negative
tbig,-4.28,1,2018,negative
tbig,12.72,12,2017,positive
tbig,-16.18,11,2017,negative
tbig,3.42,10,2017,positive
tbig,2.33,9,2017,positive
tbig,-4.81,8,2017,negative
tbig,-0.74,7,2017,negative
tbig,17.75,6,2017,positive
tbig,-1.28,5,2017,negative
tbig,7.34,4,2017,positive
tbig,9.00,3,2017,positive
tbig,1.01,2,2017,positive
tbig,-0.60,1,2017,negative
tbig,-10.27,12,2016,negative
tbig,-7.11,11,2016,negative
tbig,-2.05,10,2016,negative
tbig,9.42,9,2016,positive
tbig,-2.19,8,2016,negative
tbig,-13.64,7,2016,negative
tbig,-0.75,6,2016,negative
tbig,12.24,5,2016,positive
tbig,1.72,4,2016,positive
tbig,0.87,3,2016,positive
tbig,-8.33,2,2016,negative
tbig,7.23,1,2016,positive
tbig,-3.29,12,2015,negative
tbig,-15.03,11,2015,negative
tbig,9.16,10,2015,positive
tbig,-8.71,9,2015,negative
tbig,-14.33,8,2015,negative
tbig,-9.21,7,2015,negative
tbig,-2.12,6,2015,negative
pgas,3.26,9,2022,positive
pgas,9.52,8,2022,positive
pgas,5.66,7,2022,positive
pgas,-11.67,6,2022,negative
pgas,24.14,5,2022,positive
pgas,3.20,4,2022,positive
pgas,-2.43,3,2022,negative
pgas,4.35,2,2022,positive
pgas,0.36,1,2022,positive
pgas,-8.33,12,2021,negative
pgas,-0.66,11,2021,negative
pgas,26.89,10,2021,positive
pgas,14.98,9,2021,positive
